,misorientation,Length,Trace,Sigma,Distance_Center,Void_id,Pred_lenght,Junction,Void,Void_Parameter
237,25.35,20.033,63.3,5.55955,335.32674514858377,-1.0,-1.0,-1.0,0.0,0.0
238,52.22,5.292,160.9,3.66906,349.0530732609128,-1.0,-1.0,-1.0,0.0,0.0
239,26.82,8.327,43.9,5.60703,403.2398821752672,-1.0,-1.0,-1.0,0.0,0.0
240,14.91,12.0,120.0,5.80101,236.23099926115353,-1.0,-1.0,-1.0,0.0,0.0
241,44.87,15.144,22.4,5.85204,227.3157419959886,-1.0,-1.0,-1.0,0.0,0.0
242,37.9,8.0,60.0,5.2722,276.41187551009904,-1.0,-1.0,-1.0,0.0,0.0
243,39.48,9.452,77.8,5.73974,605.9315545344235,-1.0,-1.0,-1.0,0.0,0.0
244,38.3,8.083,30.0,5.62806,603.0829232514662,-1.0,-1.0,-1.0,0.0,0.0
245,14.07,16.371,107.8,5.7731,183.28483247871367,-1.0,-1.0,-1.0,0.0,0.0
246,14.07,11.015,63.0,5.66659,195.87168471048145,-1.0,-1.0,-1.0,0.0,0.0
247,9.26,18.583,36.2,5.89909,168.8584412776295,-1.0,-1.0,-1.0,0.0,0.0
248,9.26,27.006,178.8,1.55391,159.63193142551572,-1.0,-1.0,-1.0,0.0,0.0
249,37.27,27.056,116.3,3.19224,212.06997014587225,-1.0,-1.0,-1.0,0.0,0.0
250,34.52,5.292,40.9,3.83178,242.97202787140114,-1.0,-1.0,-1.0,0.0,0.0
251,48.91,10.263,107.0,4.03944,410.9773252177105,-1.0,-1.0,-1.0,0.0,0.0
252,52.48,12.22,49.1,5.41354,420.3793658834396,-1.0,-1.0,-1.0,0.0,0.0
253,41.53,14.422,133.9,5.88848,357.5006057148623,-1.0,-1.0,-1.0,0.0,0.0
254,41.53,18.583,96.2,5.91506,342.13727386668256,-1.0,-1.0,-1.0,0.0,0.0
255,40.71,23.692,32.4,4.32582,368.6662311476876,-1.0,-1.0,-1.0,0.0,0.0
256,37.42,3.464,150.0,5.58667,55.55053810857297,-1.0,-1.0,-1.0,0.0,0.0
257,31.07,7.211,133.9,5.45612,607.7174555489369,-1.0,-1.0,-1.0,0.0,0.0
258,26.74,24.0,180.0,4.78152,270.7137987544741,-1.0,-1.0,-1.0,0.0,0.0
259,44.9,20.0,180.0,5.61099,348.34373857355973,-1.0,-1.0,-1.0,0.0,0.0
260,56.01,24.331,25.3,4.65668,230.047992333414,-1.0,-1.0,-1.0,0.0,0.0
261,43.47,21.166,160.9,5.7266,401.2788203163334,-1.0,-1.0,-1.0,0.0,0.0
262,34.19,8.083,90.0,5.63194,57.21960218817482,-1.0,-1.0,-1.0,0.0,0.0
263,36.48,17.088,5.8,5.47059,47.29943162731921,-1.0,-1.0,-1.0,0.0,0.0
264,54.5,18.583,143.8,5.87748,58.513825488434485,-1.0,-1.0,-1.0,0.0,0.0
265,23.86,20.232,27.2,2.96618,234.62485952904865,-1.0,-1.0,-1.0,0.0,0.0
266,43.67,34.176,5.8,5.81692,93.14361809950196,-1.0,-1.0,-1.0,0.0,0.0
267,43.67,25.482,25.5,5.62724,96.67176882990546,-1.0,-1.0,-1.0,0.0,0.0
268,53.26,33.287,21.4,5.50869,317.7393542653588,-1.0,-1.0,-1.0,0.0,0.0
269,24.58,11.015,117.0,5.80518,431.2308649861388,-1.0,-1.0,-1.0,0.0,0.0
270,24.58,14.0,158.2,4.80862,438.11860018368463,-1.0,-1.0,-1.0,0.0,0.0
271,44.58,9.866,24.2,5.77209,423.98671521451536,-1.0,-1.0,-1.0,0.0,0.0
272,44.58,18.583,156.2,5.81727,424.76057784994356,-1.0,-1.0,-1.0,0.0,0.0
