,phi1_right,PHI_right,phi2_right,phi1_left,PHI_left,phi2_left,misorientation,mis_x_right,mis_y_right,mis_z_right,mis_x_left,mis_y_left,mis_z_left,Length,Trace,x_start,y_start,x_end,y_end,gbID_right,gbID_left,Sigma,Distance_Center,Void_id,x_junction,y_junction,Rebuild_len,Junction,Prox_par,Void,Void_Parameter
144907,1.103,0.873,5.73,3.103,0.478,3.389,43.16,-14.0,19.0,2.0,-14.0,19.0,2.0,28.024,177.6,460.0,274.82,488.0,275.97,814.0,751.0,5.80071,17.553838424088443,15.0,459.87274368231044,274.544921875,0.0,2.0,0.22488657759923986,1,0.6
144908,1.103,0.873,5.73,3.103,0.478,3.389,43.16,-14.0,19.0,2.0,-14.0,19.0,2.0,10.263,133.0,488.0,275.97,495.0,283.48,814.0,751.0,5.56974,1.291439014254954,14.0,495.0448609046506,283.18313419117646,0.6077360067081571,3.0,0.6560531389627522,1,1.0
144921,4.338,0.67,2.543,0.734,0.458,5.475,45.67,14.0,19.0,-17.0,14.0,19.0,-17.0,6.0,120.0,464.0,306.0,467.0,311.19,881.0,946.0,5.87858,19.536988263029993,15.0,463.5297833935018,305.556640625,0.0,2.0,0.08523359303480017,1,0.4
144924,1.103,0.873,5.73,0.122,0.674,5.858,52.34,-3.0,13.0,11.0,-3.0,13.0,11.0,12.49,103.9,465.0,291.56,468.0,303.69,814.0,876.0,5.64424,12.832096545967689,15.0,-1.0,-1.0,-1.0,0.0,0.23487735302707766,1,0.8
144929,4.338,0.67,2.543,2.501,0.561,3.505,46.96,15.0,18.0,13.0,15.0,18.0,13.0,23.692,92.4,467.0,311.19,468.0,334.86,881.0,921.0,5.30722,25.575010244691107,15.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.2
144930,2.501,0.561,3.505,0.734,0.458,5.475,48.29,-22.0,-3.0,-9.0,-22.0,-3.0,-9.0,5.033,53.4,467.0,311.19,470.0,307.15,921.0,946.0,5.86698,16.157416289591332,12.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.7
144941,1.103,0.873,5.73,2.501,0.561,3.505,51.55,-12.0,-10.0,-1.0,-12.0,-10.0,-1.0,13.856,30.0,470.0,307.15,482.0,300.22,814.0,921.0,3.96384,24.574339952615972,15.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.3
144983,2.501,0.561,3.505,0.941,0.874,5.859,53.32,-1.0,21.0,22.0,-1.0,21.0,22.0,5.292,160.9,486.0,299.07,491.0,300.8,921.0,899.0,5.46594,4.56743156017654,12.0,490.95758122743683,300.083984375,0.0,2.0,0.1717802497615148,1,0.9
144984,0.941,0.874,5.859,1.103,0.873,5.73,7.27,12.0,-22.0,5.0,12.0,-22.0,5.0,5.291,19.1,486.0,299.07,491.0,297.34,899.0,814.0,5.62434,4.56743156017654,12.0,-1.0,-1.0,-1.0,0.0,0.1717802497615148,1,0.9
145005,3.389,0.355,2.793,1.103,0.873,5.73,44.17,7.0,7.0,11.0,7.0,7.0,11.0,13.317,72.5,491.0,297.34,495.0,284.63,821.0,814.0,5.79436,1.291439014254954,14.0,495.0448609046506,283.1831341911767,1.459830738498303,3.0,0.5315790033433018,1,1.0
145006,2.501,0.561,3.505,3.389,0.355,2.793,25.03,-11.0,23.0,-6.0,-11.0,23.0,-6.0,24.0,120.0,491.0,300.8,503.0,321.58,921.0,821.0,5.69221,10.216932482734874,12.0,490.95758122743683,300.083984375,0.0,2.0,0.13737806536135894,1,0.8
145022,3.389,0.355,2.793,3.103,0.478,3.389,21.39,7.0,-6.0,-18.0,7.0,-6.0,-18.0,24.685,13.5,497.0,283.48,521.0,277.71,821.0,751.0,5.83506,2.89046440077631,14.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.9
145056,5.631,0.487,0.985,1.136,0.117,5.142,36.5,3.0,-5.0,4.0,3.0,-5.0,4.0,48.539,14.5,508.0,116.62,555.0,104.5,101.0,149.0,5.74216,2.040501228480022,22.0,-1.0,-1.0,-1.0,0.0,0.5336780684655289,1,1.0
145144,3.071,0.747,3.231,0.282,0.439,5.788,26.72,17.0,-9.0,-1.0,17.0,-9.0,-1.0,25.325,170.8,538.0,816.37,563.0,820.41,1874.0,1923.0,4.5275,7.130690486908474,1.0,566.9967739457716,820.684965093085,4.778268588277763,2.0,0.4554329581240138,1,1.0
145168,5.631,0.487,0.985,2.199,0.653,4.442,38.25,10.0,16.0,-9.0,10.0,16.0,-9.0,15.011,90.0,557.0,86.03,557.0,101.04,101.0,121.0,4.38216,6.121503685440016,22.0,-1.0,-1.0,-1.0,0.0,0.10443232932989754,1,0.9
145172,1.136,0.117,5.142,2.199,0.653,4.442,39.26,12.0,-17.0,-11.0,12.0,-17.0,-11.0,9.165,169.1,558.0,105.08,567.0,106.81,149.0,121.0,5.82583,3.769069243353423,22.0,-1.0,-1.0,-1.0,0.0,0.22278420573192007,1,0.9
145209,0.236,0.185,0.096,2.237,0.221,4.394,19.59,10.0,-9.0,0.0,10.0,-9.0,0.0,6.429,141.0,569.0,450.91,574.0,454.95,1204.0,1217.0,5.89894,38.10444314748607,6.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.05
145212,0.282,0.439,5.788,3.071,0.747,3.231,26.72,-17.0,1.0,-9.0,-17.0,1.0,-9.0,9.165,10.9,571.0,820.41,580.0,818.68,1923.0,1874.0,5.69423,6.582089780601136,1.0,566.9967739457716,820.6849650930851,3.5704401175420792,2.0,0.42306209927857036,1,1.0
145219,0.236,0.185,0.096,4.078,0.769,1.906,58.83,-9.0,-11.0,-11.0,-9.0,-11.0,-11.0,21.939,136.8,573.0,442.83,589.0,457.84,1204.0,1142.0,4.1885,26.52651597024019,6.0,588.7833935018051,456.966796875,0.0,2.0,0.031981321026075905,1,0.05
145223,3.747,0.818,2.336,0.236,0.185,0.096,51.23,1.0,0.0,-1.0,1.0,0.0,-1.0,15.275,169.1,574.0,454.95,589.0,457.84,1222.0,1204.0,4.23762,26.52651597024019,6.0,588.7833935018051,456.966796875,0.0,2.0,0.04678991503563111,1,0.05
145224,4.37,0.714,2.532,3.747,0.818,2.336,44.81,14.0,-10.0,25.0,14.0,-10.0,25.0,17.243,170.4,574.0,458.42,591.0,461.3,1232.0,1222.0,4.78073,22.445513513280194,6.0,-1.0,-1.0,-1.0,0.0,0.13994003799345067,1,0.1
145232,2.227,0.706,4.604,1.564,0.22,5.06,32.57,-12.0,25.0,8.0,-12.0,25.0,8.0,22.03,84.8,575.0,523.66,577.0,501.72,1371.0,1396.0,4.14624,31.704054307901213,6.0,581.9616078866981,461.2466947115384,40.729446989982215,1.0,0.6765688868767811,1,0.05
145242,1.564,0.22,5.06,4.37,0.714,2.532,54.73,11.0,12.0,-4.0,11.0,12.0,-4.0,7.211,13.9,578.0,499.99,585.0,498.25,1396.0,1232.0,5.85283,23.89882594742925,6.0,584.2120938628159,498.01171875,0.0,3.0,0.07691468574277903,1,0.05
145271,1.564,0.22,5.06,5.846,0.246,6.015,38.52,0.0,11.0,-15.0,0.0,11.0,-15.0,17.776,163.0,585.0,498.25,602.0,503.45,1396.0,1357.0,4.92256,21.909708672326108,6.0,584.2120938628159,498.01171875,0.0,3.0,0.2953075396500054,1,0.1
145272,1.564,0.22,5.06,5.846,0.246,6.015,38.52,0.0,11.0,-15.0,0.0,11.0,-15.0,8.718,36.6,602.0,503.45,609.0,498.25,1396.0,1357.0,5.50804,19.184295042568905,6.0,-1.0,-1.0,-1.0,0.0,0.14485202230293495,1,0.4
145273,5.846,0.246,6.015,4.37,0.714,2.532,42.45,-3.0,19.0,4.0,-3.0,19.0,4.0,8.083,30.0,585.0,498.25,592.0,494.21,1357.0,1232.0,5.89622,15.705032629778783,6.0,584.2120938628159,498.01171875,0.0,3.0,0.13425544724746458,1,0.8
145298,4.37,0.714,2.532,2.666,0.75,3.856,29.93,2.0,29.0,4.0,2.0,29.0,4.0,12.49,136.1,594.0,461.88,603.0,470.54,1232.0,1236.0,5.9034,11.0969973679804,6.0,-1.0,-1.0,-1.0,0.0,0.20747209060773408,1,1.0
145299,2.666,0.75,3.856,4.078,0.769,1.906,55.8,-11.0,-9.0,6.0,-11.0,-9.0,6.0,13.317,167.5,594.0,461.88,607.0,464.77,1236.0,1142.0,5.87534,17.31014331647042,6.0,-1.0,-1.0,-1.0,0.0,0.22121861876508073,1,0.7
145335,2.666,0.75,3.856,4.028,0.497,2.067,56.47,-8.0,17.0,14.0,-8.0,17.0,14.0,6.11,70.9,605.0,470.54,607.0,464.77,1236.0,1253.0,5.68324,11.540095544313614,6.0,606.1543321299639,464.2636718749998,2.2737367544323206e-13,2.0,0.10144171597166174,1,1.0
145350,4.078,0.769,1.906,4.028,0.497,2.067,17.11,-7.0,-22.0,-10.0,-7.0,-22.0,-10.0,22.121,174.0,607.0,464.77,629.0,467.08,1142.0,1253.0,5.8011,17.31014331647042,6.0,606.1543321299639,464.263671875,0.0,2.0,0.3157572100253098,1,0.7
145355,5.846,0.246,6.015,1.564,0.22,5.06,38.52,11.0,0.0,15.0,11.0,0.0,15.0,8.083,150.0,610.0,497.68,617.0,501.72,1357.0,1396.0,5.53439,18.791934957147664,6.0,616.2111913357402,501.66015625000006,1.2710574864626038e-13,2.0,0.13425544724746766,1,0.4
145362,1.296,0.265,4.927,0.192,0.613,5.961,31.02,-27.0,4.0,0.0,-27.0,4.0,0.0,8.327,136.1,629.0,184.17,635.0,189.95,549.0,374.0,5.77362,22.874690232821212,16.0,638.610559566787,193.8232421875,5.811475564147255,2.0,0.14773650960631526,1,0.5
145380,1.564,0.22,5.06,4.361,0.177,2.136,23.67,9.0,19.0,7.0,9.0,19.0,7.0,22.0,120.0,617.0,501.72,628.0,520.77,1396.0,1282.0,5.73864,26.10871308835606,6.0,609.6552786827508,490.75933689024384,12.720371591571503,1.0,0.226829446553345,1,0.05
145381,4.361,0.177,2.136,5.846,0.246,6.015,39.62,-12.0,4.0,-27.0,-12.0,4.0,-27.0,15.621,86.3,617.0,501.72,618.0,486.13,1282.0,1357.0,5.80978,17.076910190253678,6.0,616.2111913357402,501.66015625000006,1.2710574864626038e-13,2.0,0.2595023076316306,1,0.7
145395,4.361,0.177,2.136,4.028,0.497,2.067,29.23,14.0,12.0,21.0,14.0,12.0,21.0,8.083,30.0,619.0,484.4,626.0,480.36,1282.0,1253.0,4.10471,18.64563172494215,6.0,-1.0,-1.0,-1.0,0.0,0.13425544724746458,1,0.4
145410,0.135,0.262,6.097,1.296,0.265,4.927,16.58,19.0,-20.0,4.0,19.0,-20.0,4.0,10.263,47.0,628.0,205.54,635.0,198.03,723.0,549.0,5.70376,24.60922308671796,16.0,638.610559566787,193.8232421875,5.811475564147255,2.0,0.11219064795651072,1,0.05
145417,1.248,0.259,5.101,4.078,0.769,1.906,47.11,1.0,-12.0,11.0,1.0,-12.0,11.0,9.019,56.3,629.0,467.08,634.0,459.57,1226.0,1142.0,5.79389,30.65079744820457,6.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.05
145419,4.361,0.177,2.136,4.028,0.497,2.067,29.23,14.0,12.0,21.0,14.0,12.0,21.0,9.165,70.9,629.0,480.93,632.0,472.27,1282.0,1253.0,5.82654,27.427797833935074,6.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.05
145423,3.758,0.872,2.416,0.135,0.262,6.097,48.98,17.0,-12.0,-12.0,17.0,-12.0,-12.0,17.474,13.4,631.0,214.2,648.0,210.16,752.0,723.0,5.812,23.264533842593405,16.0,647.2960288808665,209.78515624999997,1.1718571004216928e-13,3.0,0.010186158536764068,1,0.5
145430,1.296,0.265,4.927,3.036,0.063,3.113,16.84,8.0,19.0,6.0,8.0,19.0,6.0,8.083,90.0,635.0,189.95,635.0,198.03,549.0,571.0,5.34659,22.874690232821212,16.0,-1.0,-1.0,-1.0,0.0,0.1407974930138465,1,0.5
145431,3.036,0.063,3.113,0.192,0.613,5.961,38.59,-13.0,-4.0,0.0,-13.0,-4.0,0.0,15.875,19.1,635.0,189.95,650.0,184.75,571.0,374.0,5.86744,9.407664761289102,16.0,-1.0,-1.0,-1.0,0.0,0.3064820018913688,1,1.0
145432,3.036,0.063,3.113,0.135,0.262,6.097,19.11,-27.0,-5.0,-7.0,-27.0,-5.0,-7.0,9.165,169.1,635.0,198.03,644.0,199.76,571.0,723.0,5.863,17.546250004700617,16.0,-1.0,-1.0,-1.0,0.0,0.16508146868081247,1,0.7
145440,0.192,0.613,5.961,6.12,0.734,6.268,14.45,-11.0,14.0,-2.0,-11.0,14.0,-2.0,33.005,119.0,637.0,151.84,653.0,180.71,374.0,357.0,5.57504,9.395967478573777,16.0,655.4932002789628,185.4069602272727,5.521072673811483,2.0,0.38543281649026145,1,1.0
145449,0.135,0.262,6.097,4.35,0.753,1.57,47.27,3.0,-20.0,11.0,3.0,-20.0,11.0,10.263,107.0,645.0,200.34,648.0,210.16,723.0,639.0,5.9022,16.84133676332521,16.0,647.2960288808664,209.78515625,0.0,3.0,0.19822447969627607,1,0.7
145459,0.323,0.194,5.939,4.361,0.177,2.136,23.82,13.0,10.0,-12.0,13.0,10.0,-12.0,28.213,172.9,646.0,473.43,674.0,476.89,1218.0,1282.0,4.795,11.540095544313614,7.0,674.1951730150544,476.15832270408157,0.3873992231968485,2.0,0.4937522232811391,1,0.4
145465,6.12,0.734,6.268,0.75,0.722,6.142,47.15,2.0,-20.0,-19.0,2.0,-20.0,-19.0,28.378,129.4,648.0,146.65,666.0,168.59,357.0,318.0,4.02995,22.534499912136933,16.0,665.5812274368232,167.828125,0.0,3.0,0.06150761297542478,1,0.5
145467,4.35,0.753,1.57,3.758,0.872,2.416,35.28,19.0,-3.0,-18.0,19.0,-3.0,-18.0,30.616,148.1,648.0,210.16,674.0,226.32,639.0,752.0,5.91642,23.264533842593405,16.0,647.2960288808664,209.78515625,0.0,3.0,0.0374138746856503,1,0.5
145502,1.915,0.276,4.397,0.323,0.194,5.939,19.5,-11.0,8.0,1.0,-11.0,8.0,1.0,8.718,143.4,661.0,450.91,668.0,456.11,1210.0,1218.0,5.78696,9.524557319712098,7.0,-1.0,-1.0,-1.0,0.0,0.2296251002198953,1,0.8
145515,6.12,0.734,6.268,0.614,1.008,5.378,42.34,1.0,-20.0,11.0,1.0,-20.0,11.0,9.165,70.9,663.0,177.25,666.0,168.59,357.0,441.0,5.73028,13.064831314735661,16.0,665.5812274368232,167.828125,0.0,3.0,0.17692879048434285,1,0.8
145519,0.75,0.722,6.142,0.614,1.008,5.378,44.51,-10.0,7.0,-28.0,-10.0,7.0,-28.0,23.58,12.7,666.0,168.59,689.0,163.39,318.0,441.0,5.66414,22.534499912136933,16.0,665.5812274368232,167.82812500000003,2.842170943040401e-14,3.0,0.05584738712852647,1,0.5
145523,5.365,0.939,0.772,1.915,0.276,4.397,51.29,14.0,18.0,-19.0,14.0,18.0,-19.0,14.189,129.4,666.0,445.71,675.0,456.68,1183.0,1210.0,5.81158,10.202506142400111,7.0,-1.0,-1.0,-1.0,0.0,0.284808640712616,1,0.6
145531,0.323,0.194,5.939,1.915,0.276,4.397,19.5,11.0,-8.0,-1.0,11.0,-8.0,-1.0,7.211,106.1,669.0,456.68,671.0,463.61,1218.0,1210.0,5.29996,1.82421875,7.0,-1.0,-1.0,-1.0,0.0,0.19815463869933278,1,1.0
145540,0.614,1.008,5.378,4.35,0.753,1.57,33.25,21.0,1.0,12.0,21.0,1.0,12.0,40.596,170.2,674.0,189.37,714.0,196.3,441.0,639.0,5.80231,16.456678700361067,16.0,655.4932002789628,185.4069602272727,18.629200435433887,2.0,0.5089213130574924,1,0.7
145543,2.337,0.275,3.933,5.365,0.939,0.772,58.52,-18.0,-16.0,-13.0,-18.0,-16.0,-13.0,8.718,156.6,675.0,456.68,683.0,460.15,1228.0,1183.0,4.35721,10.202506142400111,7.0,682.952166064982,459.703125,0.0,3.0,0.23956437767707703,1,0.6
145545,4.361,0.177,2.136,6.219,0.363,5.947,44.61,-11.0,-5.0,17.0,-11.0,-5.0,17.0,31.005,118.9,676.0,479.2,691.0,506.34,1282.0,1322.0,5.60208,14.740374959695545,7.0,674.1951730150544,476.15832270408157,3.0605777348414946,2.0,0.1268224102900368,1,0.2
145550,0.323,0.194,5.939,5.423,0.677,0.219,47.61,-15.0,16.0,19.0,-15.0,16.0,19.0,6.429,98.9,677.0,470.54,678.0,476.89,1218.0,1219.0,4.31233,7.858516231601309,7.0,-1.0,-1.0,-1.0,0.0,0.17660049255120328,1,0.9
145551,5.423,0.677,0.219,6.219,0.363,5.947,29.15,17.0,-20.0,-8.0,17.0,-20.0,-8.0,51.264,174.2,678.0,476.89,729.0,482.09,1219.0,1322.0,5.91301,13.164179561202337,7.0,-1.0,-1.0,-1.0,0.0,0.107765648995242,1,0.3
145554,0.3,0.712,5.874,2.68,0.751,3.621,14.46,-17.0,1.0,7.0,-17.0,1.0,7.0,16.0,60.0,679.0,132.21,687.0,118.36,144.0,180.0,4.02716,14.267438671301964,21.0,-1.0,-1.0,-1.0,0.0,0.375512710808533,1,0.5
145555,2.68,0.751,3.621,2.279,0.817,4.754,44.48,0.0,-7.0,17.0,0.0,-7.0,17.0,7.211,166.1,679.0,132.21,686.0,133.95,180.0,274.0,4.81234,13.491755538797685,21.0,-1.0,-1.0,-1.0,0.0,0.1672994156526003,1,0.7
145556,5.423,0.677,0.219,2.337,0.275,3.933,57.02,-17.0,-19.0,-2.0,-17.0,-19.0,-2.0,9.165,70.9,680.0,468.81,683.0,460.15,1219.0,1228.0,5.42286,9.543302005352011,7.0,682.952166064982,459.703125,0.0,3.0,0.2517832787661809,1,0.8
145563,5.423,0.677,0.219,5.365,0.939,0.772,33.01,-8.0,6.0,-19.0,-8.0,6.0,-19.0,15.144,37.6,683.0,460.15,695.0,450.91,1219.0,1183.0,5.82858,13.920514526544522,7.0,682.952166064982,459.703125,0.0,3.0,0.08824554969264527,1,0.3
145568,2.279,0.817,4.754,2.627,0.643,3.549,39.45,9.0,4.0,-21.0,9.0,4.0,-21.0,6.11,169.1,687.0,134.52,693.0,135.68,274.0,247.0,5.47092,9.8731346709018,21.0,-1.0,-1.0,-1.0,0.0,0.14550249158241013,1,0.9
145572,0.3,0.712,5.874,3.206,0.17,3.292,44.16,-17.0,-2.0,-8.0,-17.0,-2.0,-8.0,6.928,90.0,689.0,107.96,689.0,114.89,144.0,161.0,5.77896,15.705032629778849,21.0,-1.0,-1.0,-1.0,0.0,0.1248066557706896,1,0.3
145573,3.206,0.17,3.292,2.89,0.491,3.596,19.13,17.0,-12.0,0.0,17.0,-12.0,0.0,6.429,141.0,689.0,114.89,694.0,118.93,161.0,168.0,5.67854,8.986732660885425,21.0,-1.0,-1.0,-1.0,0.0,0.15305209345401877,1,1.0
145595,2.191,0.08,4.426,3.206,0.17,3.292,10.89,18.0,5.0,16.0,18.0,5.0,16.0,7.211,106.1,694.0,109.7,696.0,116.62,146.0,161.0,4.79875,11.0969973679804,21.0,-1.0,-1.0,-1.0,0.0,0.17150527384578038,1,0.8
145606,2.279,0.817,4.754,0.845,0.338,5.451,57.6,-15.0,17.0,15.0,-15.0,17.0,15.0,10.392,90.0,700.0,139.72,700.0,150.11,274.0,296.0,4.69554,12.899783455819474,21.0,-1.0,-1.0,-1.0,0.0,0.1583137210612031,1,0.7
145642,2.191,0.08,4.426,2.799,0.654,3.432,40.7,7.0,-3.0,5.0,7.0,-3.0,5.0,17.776,43.0,711.0,121.82,724.0,109.7,146.0,164.0,4.43945,13.920514526544416,21.0,697.9043664031441,132.8677808544303,17.006180939053646,2.0,0.5399373036363503,1,0.6
145651,0.845,0.338,5.451,2.799,0.654,3.432,43.2,-25.0,5.0,3.0,-25.0,5.0,3.0,13.317,167.5,714.0,136.25,727.0,139.14,296.0,164.0,3.61117,18.02113016705698,21.0,697.9043664031441,132.8677808544304,15.518358049556104,2.0,0.3758976097511073,1,0.3
145980,0.074,0.693,6.138,0.847,0.716,5.547,28.32,12.0,-28.0,-1.0,12.0,-28.0,-1.0,14.0,180.0,823.0,634.51,837.0,634.51,1579.0,1608.0,5.63561,15.547953904180874,4.0,-1.0,-1.0,-1.0,0.0,0.0,1,0.4
145981,0.847,0.716,5.547,4.103,0.838,2.887,44.27,-7.0,2.0,29.0,-7.0,2.0,29.0,14.0,180.0,823.0,648.36,837.0,648.36,1608.0,1707.0,3.95507,10.220968209159851,4.0,836.547833935018,647.59765625,0.0,0.0,0.15170065774882335,1,0.6
146014,0.847,0.716,5.547,0.771,0.588,5.649,8.16,12.0,20.0,-7.0,12.0,20.0,-7.0,10.263,73.0,837.0,648.36,840.0,638.55,1608.0,1635.0,3.69002,10.220968209159851,4.0,839.2906137184117,638.4765624999995,4.687428401686771e-13,0.0,0.3185858632740726,1,0.6
146015,0.771,0.588,5.649,4.103,0.838,2.887,45.43,-5.0,2.0,-19.0,-5.0,2.0,-19.0,6.928,150.0,837.0,648.36,843.0,651.83,1635.0,1707.0,5.75595,6.5820897806012,4.0,836.547833935018,647.59765625,0.0,0.0,0.21525323928634196,1,1.0
146027,0.771,0.588,5.649,0.223,0.347,0.534,42.99,6.0,7.0,-18.0,6.0,7.0,-18.0,9.165,169.1,840.0,638.55,849.0,640.28,1635.0,1558.0,2.87196,6.641439373245028,4.0,839.2906137184117,638.4765625000001,1.6077746776921858e-13,0.0,0.2846200013966316,1,1.0
146037,4.103,0.838,2.887,2.728,0.585,3.507,49.35,5.0,23.0,17.0,5.0,23.0,17.0,15.1,53.4,844.0,677.81,853.0,665.68,1707.0,1730.0,5.86128,2.885023886078403,3.0,852.0902527075813,664.9277343749998,2.2737367544323206e-13,1.0,0.20279485808053013,1,1.0
146050,4.103,0.838,2.887,0.752,0.633,5.703,42.87,5.0,-24.0,-3.0,5.0,-24.0,-3.0,15.011,117.8,846.0,652.41,853.0,665.68,1707.0,1709.0,4.37139,6.449891727909745,4.0,843.4047833935018,647.59765625,5.101253071200031,0.0,0.4525558919177235,1,1.0
146059,0.755,0.608,5.657,0.223,0.347,0.534,43.71,3.0,3.0,-8.0,3.0,3.0,-8.0,15.535,15.1,849.0,640.28,864.0,636.24,1623.0,1558.0,5.81903,6.641439373245028,4.0,-1.0,-1.0,-1.0,0.0,0.34661780179920665,1,1.0
146073,0.752,0.633,5.703,0.755,0.608,5.657,2.85,12.0,7.0,23.0,12.0,7.0,23.0,8.0,120.0,857.0,650.67,861.0,657.6,1709.0,1623.0,5.54576,11.042599552817128,4.0,-1.0,-1.0,-1.0,0.0,0.12692510387673697,1,0.5
146074,2.728,0.585,3.507,0.752,0.633,5.703,38.81,24.0,7.0,-15.0,24.0,7.0,-15.0,7.024,55.3,857.0,664.53,861.0,658.76,1730.0,1709.0,5.28303,4.086772993093868,3.0,-1.0,-1.0,-1.0,0.0,0.26871771783440007,1,0.9
146121,5.71,0.382,0.634,4.738,0.344,0.945,39.56,11.0,9.0,25.0,11.0,9.0,25.0,16.773,146.6,897.0,180.71,911.0,189.95,489.0,208.0,5.8842,24.285941081303754,17.0,912.8544237297268,191.21624300373136,2.704052153399265,2.0,0.05365182844046161,1,0.05
146162,4.871,0.789,1.484,4.544,0.179,1.894,36.1,3.0,-24.0,-4.0,3.0,-24.0,-4.0,34.176,54.2,891.0,222.28,911.0,194.57,687.0,688.0,5.89789,26.181681345557045,17.0,912.8544237297268,191.21624300373125,3.801540710077073,2.0,0.07542739504121176,1,0.05
146224,3.235,0.564,3.534,4.738,0.344,0.945,42.11,-9.0,22.0,-14.0,-9.0,22.0,-14.0,12.166,25.3,911.0,189.95,922.0,184.75,577.0,208.0,4.56844,12.196299727382991,17.0,936.9640493381468,176.56917317708337,17.19850301260362,2.0,0.5635334442018263,1,1.0
146225,1.726,0.633,5.278,4.544,0.179,1.894,56.04,-6.0,-23.0,18.0,-6.0,-23.0,18.0,8.0,180.0,911.0,194.57,919.0,194.57,664.0,688.0,5.75469,19.417619821502605,17.0,918.8312274368232,194.279296875,0.0,3.0,0.08927437347069367,1,0.4
146228,1.726,0.633,5.278,3.235,0.564,3.534,51.23,13.0,5.0,7.0,13.0,5.0,7.0,7.572,157.6,912.0,191.68,919.0,194.57,664.0,577.0,4.94083,19.417619821502605,17.0,918.8312274368232,194.279296875,0.0,3.0,0.12859043637004766,1,0.4
146239,3.235,0.564,3.534,4.544,0.179,1.894,37.81,-5.0,3.0,4.0,-5.0,3.0,4.0,9.165,10.9,919.0,194.57,928.0,192.83,577.0,688.0,5.82156,12.243007370880083,17.0,918.8312274368232,194.279296875,0.0,3.0,0.18187811447801266,1,1.0
146292,4.738,0.344,0.945,0.101,0.365,5.915,33.17,-5.0,-15.0,-8.0,-5.0,-15.0,-8.0,26.633,72.5,939.0,170.32,947.0,144.91,208.0,351.0,5.02757,13.064831314735661,17.0,936.9640493381468,176.56917317708346,7.194892654348915,2.0,0.3727485752579594,1,0.8
146308,3.137,0.576,3.559,4.544,0.179,1.894,37.13,-22.0,15.0,14.0,-22.0,15.0,14.0,6.928,150.0,944.0,192.83,950.0,196.3,589.0,688.0,4.60606,14.864060105081014,17.0,949.9160649819497,196.10351562500009,2.428351918216984e-13,3.0,0.13752290287739355,1,0.6
146318,1.001,0.144,5.149,3.137,0.576,3.559,47.58,23.0,1.0,-17.0,23.0,1.0,-17.0,7.024,124.7,947.0,184.17,951.0,189.95,388.0,589.0,5.89841,12.928980327192262,17.0,950.8303249097473,189.71875,0.0,2.0,0.1394664860483071,1,0.8
146323,0.101,0.365,5.915,1.001,0.144,5.149,18.17,24.0,-2.0,-9.0,24.0,-2.0,-9.0,28.378,50.6,948.0,175.51,966.0,153.58,351.0,388.0,5.73434,15.127334715374847,17.0,-1.0,-1.0,-1.0,0.0,0.17230986334535034,1,0.6
146328,3.137,0.576,3.559,5.97,0.749,0.75,47.69,12.0,13.0,15.0,12.0,13.0,15.0,6.429,81.1,950.0,196.3,951.0,189.95,589.0,569.0,5.70833,19.212936612924572,17.0,949.9160649819495,196.103515625,0.0,3.0,0.12754480017586867,1,0.4
146329,5.97,0.749,0.75,4.544,0.179,1.894,44.06,10.0,-4.0,3.0,10.0,-4.0,3.0,35.233,164.8,950.0,196.3,984.0,205.54,569.0,688.0,5.9083,21.995449822847853,17.0,949.9160649819495,196.103515625,0.0,3.0,0.01999475668619475,1,0.1
146332,5.97,0.749,0.75,1.001,0.144,5.149,54.24,4.0,-3.0,4.0,4.0,-3.0,4.0,29.956,14.5,951.0,189.95,980.0,182.44,569.0,388.0,4.32719,19.212936612924572,17.0,950.8303249097473,189.71875,0.0,2.0,0.09633562569261264,1,0.4
146338,4.996,0.193,1.687,0.087,0.223,6.044,36.02,-1.0,-1.0,3.0,-1.0,-1.0,3.0,15.011,177.8,953.0,118.36,968.0,118.93,140.0,187.0,4.30089,15.547953904180874,20.0,967.2870036101083,118.57421875,0.0,3.0,0.12437968264836871,1,0.7
146350,0.087,0.223,6.044,1.132,0.782,5.518,46.75,-7.0,-24.0,-15.0,-7.0,-24.0,-15.0,17.088,54.2,958.0,144.34,968.0,130.48,187.0,258.0,5.83307,10.056859205776163,20.0,-1.0,-1.0,-1.0,0.0,0.2816821510649359,1,0.8
146374,0.087,0.223,6.044,4.75,0.111,1.799,28.56,13.0,7.0,-25.0,13.0,7.0,-25.0,10.263,107.0,968.0,118.93,971.0,128.75,187.0,152.0,5.50581,6.654732422202945,20.0,967.2870036101083,118.57421875,0.0,3.0,0.2529070947849028,1,0.9
146375,4.75,0.111,1.799,4.996,0.193,1.687,9.05,-4.0,15.0,-23.0,-4.0,15.0,-23.0,15.1,66.6,968.0,118.93,974.0,105.08,152.0,140.0,4.74636,15.547953904180874,20.0,967.2870036101083,118.57421875,0.0,3.0,0.16758158429624095,1,0.7
